VALUE, SEQ, DICHO
227, 0.01105, 0.00000
228, 0.02420, 0.00000
229, 0.02324, 0.00000
230, 0.00090, 0.00000
231, 0.01541, 0.00000
232, 0.02506, 0.00000
233, 0.02240, 0.00010
234, 0.01931, 0.00000
235, 0.00300, 0.00000
236, 0.01325, 0.00000
237, 0.00010, 0.00000
238, 0.00515, 0.00000
239, 0.00120, 0.00000
240, 0.02242, 0.00000
241, 0.00675, 0.00000
242, 0.00170, 0.00000
243, 0.02256, 0.00000
244, 0.01242, 0.00000
245, 0.01165, 0.00000
246, 0.02291, 0.00000
247, 0.02293, 0.00000
248, 0.02362, 0.00000
249, 0.02081, 0.00000
250, 0.02986, 0.00000
251, 0.02090, 0.00000
252, 0.02436, 0.00000
253, 0.02653, 0.00000
254, 0.02550, 0.00000
255, 0.01717, 0.00000
256, 0.00200, 0.00000
257, 0.02526, 0.00000
258, 0.00130, 0.00000
259, 0.01874, 0.00010
260, 0.00510, 0.00000
261, 0.00535, 0.00000
262, 0.02130, 0.00000
263, 0.00685, 0.00000
264, 0.00010, 0.00000
265, 0.02421, 0.00000
266, 0.02026, 0.00000
267, 0.02457, 0.00000
268, 0.02261, 0.00000
269, 0.01940, 0.00000
270, 0.01841, 0.00000
271, 0.00770, 0.00000
272, 0.00655, 0.00000
273, 0.01419, 0.00000
274, 0.02472, 0.00000
275, 0.00595, 0.00000
276, 0.00230, 0.00000
277, 0.02480, 0.00000
278, 0.00445, 0.00000
279, 0.02456, 0.00000
280, 0.00276, 0.00000
281, 0.00890, 0.00000
282, 0.00881, 0.00000
283, 0.01741, 0.00000
284, 0.00515, 0.00000
285, 0.01365, 0.00000
286, 0.00975, 0.00000
287, 0.00200, 0.00000
288, 0.00150, 0.00000
289, 0.02393, 0.00010
290, 0.02251, 0.00000
291, 0.02399, 0.00000
292, 0.01015, 0.00000
293, 0.00355, 0.00000
294, 0.00855, 0.00010
295, 0.02425, 0.00000
296, 0.02531, 0.00000
297, 0.01732, 0.00000
298, 0.02366, 0.00000
299, 0.02462, 0.00000
300, 0.00130, 0.00000
301, 0.00955, 0.00000
302, 0.00865, 0.00000
303, 0.02322, 0.00000
304, 0.01761, 0.00000
305, 0.00505, 0.00000
306, 0.00190, 0.00000
307, 0.02322, 0.00000
308, 0.01156, 0.00000
309, 0.02462, 0.00000
310, 0.01871, 0.00000
311, 0.01645, 0.00000
312, 0.02141, 0.00000
313, 0.00304, 0.00000
314, 0.01388, 0.00000
315, 0.00200, 0.00000
316, 0.01045, 0.00000
317, 0.00050, 0.00000
318, 0.02058, 0.00010
319, 0.01170, 0.00000
320, 0.00937, 0.00000
321, 0.00730, 0.00000
322, 0.02562, 0.00000
323, 0.00040, 0.00000
324, 0.02060, 0.00000
325, 0.02528, 0.00000
326, 0.01741, 0.00000
327, 0.02406, 0.00000
328, 0.02339, 0.00000
329, 0.00750, 0.00000
330, 0.02421, 0.00000
331, 0.01226, 0.00000
332, 0.01006, 0.00000
333, 0.00781, 0.00000
334, 0.02218, 0.00000
335, 0.00785, 0.00000
336, 0.02296, 0.00000
337, 0.00465, 0.00000
338, 0.02336, 0.00000
339, 0.00795, 0.00000
340, 0.01760, 0.00000
341, 0.02408, 0.00000
342, 0.00775, 0.00000
343, 0.00565, 0.00000
344, 0.01981, 0.00000
345, 0.01895, 0.00000
346, 0.02396, 0.00000
347, 0.02468, 0.00000
348, 0.02436, 0.00000
349, 0.01111, 0.00000
350, 0.02341, 0.00000
351, 0.02481, 0.00000
352, 0.02437, 0.00000
353, 0.02577, 0.00000
354, 0.02698, 0.00000
355, 0.02616, 0.00000
356, 0.00620, 0.00000
357, 0.00750, 0.00000
358, 0.02376, 0.00000
359, 0.00976, 0.00000
360, 0.01146, 0.00000
361, 0.01181, 0.00000
362, 0.00866, 0.00000
363, 0.01295, 0.00010
364, 0.00140, 0.00000
365, 0.01046, 0.00000
366, 0.01333, 0.00000
367, 0.01315, 0.00000
368, 0.01266, 0.00000
369, 0.00180, 0.00000
370, 0.02338, 0.00000
371, 0.01275, 0.00010
372, 0.00120, 0.00000
373, 0.00963, 0.00000
374, 0.02396, 0.00000
375, 0.00900, 0.00000
376, 0.02496, 0.00000
377, 0.02094, 0.00000
378, 0.00130, 0.00000
379, 0.00781, 0.00000
380, 0.00952, 0.00000
381, 0.02665, 0.00000
382, 0.02586, 0.00000
383, 0.00895, 0.00000
384, 0.01065, 0.00000
385, 0.00353, 0.00000
386, 0.00590, 0.00000
387, 0.02506, 0.00000
388, 0.00860, 0.00000
389, 0.00715, 0.00000
390, 0.00733, 0.00000
391, 0.02480, 0.00000
392, 0.00715, 0.00000
393, 0.02486, 0.00000
394, 0.02466, 0.00000
395, 0.01425, 0.00000
396, 0.01498, 0.00000
397, 0.01286, 0.00000
398, 0.00060, 0.00000
399, 0.02457, 0.00000
400, 0.00250, 0.00000
401, 0.00010, 0.00000
402, 0.01035, 0.00000
403, 0.02133, 0.00000
404, 0.02418, 0.00000
405, 0.00840, 0.00000
406, 0.01950, 0.00000
407, 0.00435, 0.00000
408, 0.02601, 0.00000
409, 0.01297, 0.00000
410, 0.02470, 0.00000
411, 0.00619, 0.00000
412, 0.00250, 0.00000
413, 0.02246, 0.00000
414, 0.01155, 0.00000
415, 0.02481, 0.00000
416, 0.02626, 0.00000
417, 0.01742, 0.00000
418, 0.02326, 0.00000
419, 0.02647, 0.00000
420, 0.02387, 0.00000
421, 0.02533, 0.00000
422, 0.01916, 0.00000
423, 0.02584, 0.00000
424, 0.02430, 0.00000
425, 0.00515, 0.00000
426, 0.00360, 0.00000
427, 0.00370, 0.00000
428, 0.02532, 0.00000
429, 0.01580, 0.00000
430, 0.03247, 0.00000
431, 0.00360, 0.00000
432, 0.02876, 0.00000
433, 0.00795, 0.00000
434, 0.00795, 0.00000
435, 0.00240, 0.00000
436, 0.01325, 0.00000
437, 0.02010, 0.00000
438, 0.02406, 0.00000
439, 0.02281, 0.00000
440, 0.02656, 0.00000
441, 0.02546, 0.00000
442, 0.02397, 0.00000
443, 0.02447, 0.00000
444, 0.00725, 0.00000
445, 0.02535, 0.00000
446, 0.00070, 0.00000
447, 0.01540, 0.00000
448, 0.00620, 0.00000
449, 0.02521, 0.00000
450, 0.02468, 0.00010
451, 0.02576, 0.00000
452, 0.00350, 0.00000
453, 0.02091, 0.00010
454, 0.02356, 0.00000
